question,option1,option2,option3,option4,answer,reason,chapter
Why PT?1,Hydrogen,Helium,Hydrogen,Hydrogen,Hydrogen,Helium,Evolution of Periodic Table
Why PT?2,Helium,Lithium,Helium,Helium,Helium,Lithium,Evolution of Periodic Table
Why PT?3,Lithium,Beryllium,Lithium,Lithium,Lithium,Beryllium,Evolution of Periodic Table
Why PT?4,Beryllium,Boron,Beryllium,Beryllium,Beryllium,Boron,Evolution of Periodic Table
Why PT?5,Boron,Carbon,Boron,Boron,Boron,Hydrogen,Evolution of Periodic Table
Why PT?1,Carbon,Carbon,Carbon,Hydrogen,Carbon,Helium,Modern Periodic Table
Why PT?2,Nitrogen,Nitrogen,Nitrogen,Helium,Nitrogen,Lithium,Modern Periodic Table
Why PT?3,Oxygen,Fluorine,Oxygen,Lithium,Oxygen,Beryllium,Modern Periodic Table
Why PT?4,Fluorine,Fluorine,Fluorine,Beryllium,Fluorine,Boron,Modern Periodic Table
Why PT?5,Neon,Neon,Neon,Boron,Neon,Carbon,Modern Periodic Table
Why PT?1,Sodium,Sodium,Sodium,Carbon,Sodium,Nitrogen,How to learn?
Why PT?2,Hydrogen,Magnesium,Magnesium,Nitrogen,Magnesium,Oxygen,How to learn?
Why PT?3,Helium,Aluminum,Aluminum,Oxygen,Aluminum,Nitrogen,How to learn?
Why PT?4,Lithium,Silicon,Helium,Fluorine,Helium,Helium,How to learn?
Why PT?5,Beryllium,Aluminum,Lithium,Neon,Lithium,Lithium,How to learn?
